Date,brand,category,product,retail_price,currency
2/1/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
9/1/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
16/1/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
23/1/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
30/1/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
6/2/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
13/2/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
20/2/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
27/2/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
6/3/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
13/3/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
20/3/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
27/3/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
3/4/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
10/4/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
17/4/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
24/4/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
1/5/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
8/5/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
15/5/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
22/5/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
29/5/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
5/6/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
12/6/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
19/6/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
26/6/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
3/7/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
10/7/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
17/7/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
24/7/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
31/7/2022,Time,Fibre to the Home,100Mbps,99.00,MYR
