date,brand,category,product,media_channel,geography,geography_breakdown,format,publisher,campaign,funnel_stage,spend,reach,impressions,currency_code
6/2/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600,0,0,MYR
13/2/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600,0,0,MYR
20/2/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600,0,0,MYR
27/2/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600,0,0,MYR
6/3/2023,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,7816.42,0,4428752,MYR
6/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650,0,0,MYR
6/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700,0,0,MYR
13/3/2023,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,13980.85,0,9582799,MYR
13/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700,0,0,MYR
13/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650,0,0,MYR
20/3/2023,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,13903.93,0,9286560,MYR
20/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650,0,0,MYR
20/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700,0,0,MYR
27/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650,0,0,MYR
27/3/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700,0,0,MYR
27/3/2023,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,12897.2,0,8288393,MYR
3/4/2023,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,995.41,0,1209798,MYR
3/7/2023,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,14436.99,0,2223526,MYR
3/7/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675,0,0,MYR
10/7/2023,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,11712.1,0,1792488,MYR
10/7/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675,0,0,MYR
10/7/2023,Time,FTTO,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2B Campaign,Awareness,9997.929742,0,387955,MYR
17/7/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675,0,0,MYR
17/7/2023,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,6494.58,0,730371,MYR
17/7/2023,Time,FTTO,All Home Fibre Speeds,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2B Campaign,Awareness,5002.070258,0,194098,MYR
24/7/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675,0,0,MYR
24/7/2023,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,4872.72,0,581970,MYR
31/7/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,12264,0,0,MYR
31/7/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260,0,0,MYR
31/7/2023,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,6052.27,0,1429086,MYR
7/8/2023,Time,FTTH,All Home Fibre Speeds,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260,0,0,MYR
7/8/2023,Time,FTTH,All Home Fibre Speeds,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,4497.13,0,1042036,MYR
