No,Channel,Date,Title,category,product,Media Name,Link URL,Sentiment,brand,company,metric_name,metric_value
1,Online Media,2024-04-01,MyIX to Provide Free Network Infrastructure Training Course,"Enterprise, Wholesale, or Public Sector",Enterprise products,BIZVANTAGE 360,https://bizvantage360.com/myix-to-provide-free-network-infrastructure-training-course/,positive,Time,Time,Ad Value,3000.0
2,Online Media,2024-04-01,MyIX Now Offers a Free Network Infrastructure Training Course,"Enterprise, Wholesale, or Public Sector",Enterprise products,BUSINESS CIRCLE KL,https://businesscirclekl.com/myix-now-offers-a-free-network-infrastructure-training-course/,positive,Time,Time,Ad Value,1000.0
3,Online Media,2024-04-01,MyIX Offers Free 7-Day Network Infrastructure Training Course,"Enterprise, Wholesale, or Public Sector",Enterprise products,TECHBARISSTA,https://www.techbarrista.com/myix-offers-free-7-day-network-infrastructure-training-course/,positive,Time,Time,Ad Value,2000.0
4,Online Media,2024-04-01,MyIX Initiates Free 7-Day Network Infrastructure Training Course in Line with CSR Initiatives,"Enterprise, Wholesale, or Public Sector",Enterprise products,MALAYSIA KINI - MY,https://www.malaysiakini.com/announcement/692086,positive,Time,Time,Ad Value,11200.0
5,Online Media,2024-04-01,"MDEC commends MyIX for ‘keeping internet traffic local', developing local talent","Enterprise, Wholesale, or Public Sector",Enterprise products,NEWSWAV.COM,https://newswav.com/article/mdec-commends-myix-for-keeping-internet-traffic-local-developing-local-tale-A2401_oeLRDA,positive,Time,Time,Ad Value,2000.0
6,Online Media,2024-04-01,"MDEC commends MyIX for ‘keeping internet traffic local', developing local talent","Enterprise, Wholesale, or Public Sector",Enterprise products,FOCUS MALAYSIA,https://focusmalaysia.my/mdec-commends-myix-for-keeping-internet-traffic-local-developing-local-talent/,positive,Time,Time,Ad Value,4000.0
7,Online Media,2024-04-01,"MDEC commends MyIX for ‘keeping internet traffic local', developing local talent","Enterprise, Wholesale, or Public Sector",Enterprise products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/savemalaysia/2024-01-04-story-h-211356325-MDEC_commends_MyIX_for_keeping_internet_traffic_local_developing_local_,positive,Time,Time,Ad Value,8400.0
8,TV,2024-05-01,Sarawak Tuan Rumah Sambut Hawana 2024,"Enterprise, Wholesale, or Public Sector",Enterprise products,Bernama News Channel,https://dxtan-cdn.dxt360.app/202404031406/e3e9b2a72739146e5d3352a62c19a78d/broadcast/media/NAMA/202401/36937211.MP4,neutral,Time,Time,Ad Value,14500.0
9,Printmedia,2024-08-01,INSIDER MOVES,"Enterprise, Wholesale, or Public Sector",Enterprise products,The Edge,https://dxtan-cdn.dxt360.app/202404031406/78baa12d35ab0bc7c5ca524ff6cdc84f/broadcast/media/NAMA/202401/36977197.JPG,neutral,Time,Time,Ad Value,9017.0
10,Online Media,2024-08-01,2023 - NEWSMAKERS: CORPORATE PERSONALITIES MAKING WAVES,"Enterprise, Wholesale, or Public Sector",Enterprise products,THE EDGE,https://theedgemalaysia.com/node/695653,positive,Time,Time,Ad Value,2000.0
