date	brand	category	product	geography	sales_channel	product_code	clv_value	currency_code
3/1/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
10/1/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
17/1/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
24/1/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
31/1/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
7/2/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
14/2/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
21/2/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
28/2/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
7/3/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
14/3/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
21/3/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
28/3/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
4/4/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
11/4/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
18/4/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
25/4/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
2/5/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
9/5/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
16/5/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
23/5/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
30/5/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
6/6/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
13/6/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
20/6/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
27/6/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
4/7/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
11/7/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
18/7/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
25/7/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
1/8/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
8/8/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
15/8/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
22/8/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
29/8/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
5/9/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
12/9/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
19/9/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
26/9/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
3/10/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
10/10/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
17/10/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
24/10/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
31/10/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
7/11/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
14/11/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
21/11/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
28/11/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
5/12/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
12/12/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
19/12/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
26/12/2022	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
2/1/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
9/1/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
16/1/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
23/1/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
30/1/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
6/2/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
13/2/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
20/2/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
27/2/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
6/3/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
13/3/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
20/3/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
27/3/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
3/4/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
10/4/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
17/4/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
24/4/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
1/5/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
8/5/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
15/5/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
22/5/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
29/5/2023	Time	Fibre to the Home	All products	Nationwide	ONLINE	100Mbps @ 24 Mo	2871	MYR
