date,brand,category,product,media_channel,geography,geography_breakdown,format,publisher,campaign,funnel_stage,spend,reach,impressions,currency_code
2023-02-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-02-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-02-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-02-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-03-06,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,7816.42,0,4428752,MYR
2023-03-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-13,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,13980.85,0,9582799,MYR
2023-03-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-20,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,13903.93,0,9286560,MYR
2023-03-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-27,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,12897.2,0,8288393,MYR
2023-04-03,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,995.41,0,1209798,MYR
2023-07-03,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,14436.99,0,2223526,MYR
2023-07-03,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675.0,0,0,MYR
2023-07-10,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,11712.1,0,1792488,MYR
2023-07-10,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675.0,0,0,MYR
